DICIONÁRIO DE VARIÁVEIS - ENEM 2018 - (Modificado),,,,
,,,,
NOME DA VARIÁVEL,Descrição,Variáveis Categóricas,,Tipo
,,Categoria,Descrição,
DADOS DO PARTICIPANTE,,,,
NU_INSCRICAO,Número de inscrição1 ,,,Numérica
SG_UF_RESIDENCIA,Sigla da Unidade da Federação de residência,,,Alfanumérica
NU_IDADE,Idade2,,,Numérica
TP_SEXO,Sexo,M,Masculino,Alfanumérica
,,F,Feminino ,
TP_ESTADO_CIVIL,Estado Civil,0,Solteiro(a),Numérica
,,1,Casado(a)/Mora com companheiro(a),
,,2,Divorciado(a)/Desquitado(a)/Separado(a),
,,3,Viúvo(a),
TP_COR_RACA,Cor/raça,0,Não declarado,Numérica
,,1,Branca,
,,2,Preta,
,,3,Parda,
,,4,Amarela,
,,5,Indígena ,
TP_ANO_CONCLUIU,Ano de Conclusão do Ensino Médio,0,Não informado,Numérica
,,1,2017,
,,2,2016,
,,3,2015,
,,4,2014,
,,5,2013,
,,6,2012,
,,7,2011,
,,8,2010,
,,9,2009,
,,10,2008,
,,11,2007,
,,12,Antes de 2007,
TP_ESCOLA,Tipo de escola do Ensino Médio,1,Não Respondeu,Numérica
,,2,Pública,
,,3,Privada,
,,4,Exterior,
IN_TREINEIRO,Indica se o inscrito fez a prova com intuito de apenas treinar seus conhecimentos3,1,Sim,Numérica
,,0,Não,
DADOS DA PROVA OBJETIVA,,,,
NU_NOTA_CN,Nota da prova de Ciências da Natureza,,,Numérica
NU_NOTA_CH,Nota da prova de Ciências Humanas,,,Numérica
NU_NOTA_LC,Nota da prova de Linguagens e Códigos,,,Numérica
NU_NOTA_MT,Nota da prova de Matemática,,,Numérica
DADOS DO QUESTIONÁRIO SOCIOECONÔMICO,,,,
Q001,"Até que série seu pai, ou o homem responsável por você, estudou?",A,Nunca estudou.,Alfanumérica
,,B,Não completou a 4ª série/5º ano do Ensino Fundamental.,
,,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",
,,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",
,,E,"Completou o Ensino Médio, mas não completou a Faculdade.",
,,F,"Completou a Faculdade, mas não completou a Pós-graduação.",
,,G,Completou a Pós-graduação.,
,,H,Não sei.,
Q002,"Até que série sua mãe, ou a mulher responsável por você, estudou?",A,Nunca estudou.,Alfanumérica
,,B,Não completou a 4ª série/5º ano do Ensino Fundamental.,
,,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",
,,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",
,,E,"Completou o Ensino Médio, mas não completou a Faculdade.",
,,F,"Completou a Faculdade, mas não completou a Pós-graduação.",
,,G,Completou a Pós-graduação.,
,,H,Não sei.,
Q003,"A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação do seu pai ou do homem responsável por você. (Se ele não estiver trabalhando, escolha uma ocupação pensando no último trabalho dele).",A,"Grupo 1: Lavrador, agricultor sem empregados, bóia fria, criador de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultor, pescador, lenhador, seringueiro, extrativista.",Alfanumérica
,,B,"Grupo 2: Diarista, empregado doméstico, cuidador de idosos, babá, cozinheiro (em casas particulares), motorista particular, jardineiro, faxineiro de empresas e prédios, vigilante, porteiro, carteiro, office-boy, vendedor, caixa, atendente de loja, auxiliar administrativo, recepcionista, servente de pedreiro, repositor de mercadoria.",
,,C,"Grupo 3: Padeiro, cozinheiro industrial ou em restaurantes, sapateiro, costureiro, joalheiro, torneiro mecânico, operador de máquinas, soldador, operário de fábrica, trabalhador da mineração, pedreiro, pintor, eletricista, encanador, motorista, caminhoneiro, taxista.",
,,D,"Grupo 4: Professor (de ensino fundamental ou médio, idioma, música, artes etc.), técnico (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretor de imóveis, supervisor, gerente, mestre de obras, pastor, microempresário (proprietário de empresa com menos de 10 empregados), pequeno comerciante, pequeno proprietário de terras, trabalhador autônomo ou por conta própria.",
,,E,"Grupo 5: Médico, engenheiro, dentista, psicólogo, economista, advogado, juiz, promotor, defensor, delegado, tenente, capitão, coronel, professor universitário, diretor em empresas públicas ou privadas, político, proprietário de empresas com mais de 10 empregados.",
,,F,Não sei.,
Q004,"A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação da sua mãe ou da mulher responsável por você. (Se ela não estiver trabalhando, escolha uma ocupação pensando no último trabalho dela).",A,"Grupo 1: Lavradora, agricultora sem empregados, bóia fria, criadora de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultora, pescadora, lenhadora, seringueira, extrativista.",Numérica
,,B,"Grupo 2: Diarista, empregada doméstica, cuidadora de idosos, babá, cozinheira (em casas particulares), motorista particular, jardineira, faxineira de empresas e prédios, vigilante, porteira, carteira, office-boy, vendedora, caixa, atendente de loja, auxiliar administrativa, recepcionista, servente de pedreiro, repositora de mercadoria.",
,,C,"Grupo 3: Padeira, cozinheira industrial ou em restaurantes, sapateira, costureira, joalheira, torneira mecânica, operadora de máquinas, soldadora, operária de fábrica, trabalhadora da mineração, pedreira, pintora, eletricista, encanadora, motorista, caminhoneira, taxista.",
,,D,"Grupo 4: Professora (de ensino fundamental ou médio, idioma, música, artes etc.), técnica (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretora de imóveis, supervisora, gerente, mestre de obras, pastora, microempresária (proprietária de empresa com menos de 10 empregados), pequena comerciante, pequena proprietária de terras, trabalhadora autônoma ou por conta própria.",
,,E,"Grupo 5: Médica, engenheira, dentista, psicóloga, economista, advogada, juíza, promotora, defensora, delegada, tenente, capitã, coronel, professora universitária, diretora em empresas públicas ou privadas, política, proprietária de empresas com mais de 10 empregados.",
,,F,Não sei.,
Q005,"Incluindo você, quantas pessoas moram atualmente em sua residência?",1,"1, pois moro sozinho(a).",Numérica
,,2,2,
,,3,3,
,,4,4,
,,5,5,
,,6,6,
,,7,7,
,,8,8,
,,9,9,
,,10,10,
,,11,11,
,,12,12,
,,13,13,
,,14,14,
,,15,15,
,,16,16,
,,17,17,
,,18,18,
,,19,19,
,,20,20,
Q006,Qual é a renda mensal de sua família? (Some a sua renda com a dos seus familiares.),A,Nenhuma renda.,Alfanumérica
,,B,"Até R$ 954,00.",
,,C,"De R$ 954,01 até R$ 1.431,00.",
,,D,"De R$ 1.431,01 até R$ 1.908,00.",
,,E,"De R$ 1.908,01 até R$ 2.385,00.",
,,F,"De R$ 2.385,01 até R$ 2.862,00.",
,,G,"De R$ 2.862,01 até R$ 3.816,00.",
,,H,"De R$ 3.816,01 até R$ 4.770,00.",
,,I,"De R$ 4.770,01 até R$ 5.724,00.",
,,J,"De R$ 5.724,01 até R$ 6.678,00.",
,,K,"De R$ 6.678,01 até R$ 7.632,00.",
,,L,"De R$ 7.632,01 até R$ 8.586,00.",
,,M,"De R$ 8.586,01 até R$ 9.540,00.",
,,N,"De R$ 9.540,01 até R$ 11.448,00.",
,,O,"De R$ 11.448,01 até R$ 14.310,00.",
,,P,"De R$ 14.310,01 até R$ 19.080,00.",
,,Q,"Mais de R$ 19.080,00.",
Q007,Em sua residência trabalha empregado(a) doméstico(a)?,A,Não.,Alfanumérica
,,B,"Sim, um ou dois dias por semana.",
,,C,"Sim, três ou quatro dias por semana.",
,,D,"Sim, pelo menos cinco dias por semana.",
Q008,Na sua residência tem banheiro?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q009,Na sua residência tem quartos para dormir?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q010,Na sua residência tem carro?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q011,Na sua residência tem motocicleta?,A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q012,Na sua residência tem geladeira?,A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q013,Na sua residência tem freezer (independente ou segunda porta da geladeira)?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q014,Na sua residência tem máquina de lavar roupa? (o tanquinho NÃO deve ser considerado),A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q015,Na sua residência tem máquina de secar roupa (independente ou em conjunto com a máquina de lavar roupa)?,A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q016,Na sua residência tem forno micro-ondas?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q017,Na sua residência tem máquina de lavar louça?,A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q018,Na sua residência tem aspirador de pó?,A,Não.,Alfanumérica
,,B,Sim.,
Q019,Na sua residência tem televisão em cores?,A,Não.,Alfanumérica
,,B,"Sim, uma.",
,,C,"Sim, duas.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q020,Na sua residência tem aparelho de DVD?,A,Não.,Alfanumérica
,,B,Sim.,
Q021,Na sua residência tem TV por assinatura?,A,Não.,Alfanumérica
,,B,Sim.,
Q022,Na sua residência tem telefone celular?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q023,Na sua residência tem telefone fixo?,A,Não.,Alfanumérica
,,B,Sim.,
Q024,Na sua residência tem computador?,A,Não.,Alfanumérica
,,B,"Sim, um.",
,,C,"Sim, dois.",
,,D,"Sim, três.",
,,E,"Sim, quatro ou mais.",
Q025,Na sua residência tem acesso à Internet?,A,Não.,Alfanumérica
,,B,Sim.,
Q026,Você já concluiu ou está concluindo o Ensino Médio?,A,Já concluí o Ensino Médio.,Alfanumérica
,,B,Estou cursando e concluirei o Ensino Médio em 2018.,
,,C,Estou cursando e concluirei o Ensino Médio após 2018.,
,,D,Não concluí e não estou cursando o Ensino Médio.,
Q027,Em que tipo de escola você frequentou o Ensino Médio?,A,Somente em escola pública.,Alfanumérica
,,B,Parte em escola pública e parte em escola privada SEM bolsa de estudo integral.,
,,C,Parte em escola pública e parte em escola privada COM bolsa de estudo integral.,
,,D,Somente em escola privada SEM bolsa de estudo integral.,
,,E,Somente em escola privada COM bolsa de estudo integral.,
,,F,Não frequentei a escola,
"1. Referente ao Enem 2017, trata-se de uma máscara e não o seu número de inscrição original no Enem. O mesmo NU_INSCRICAO para anos diferentes não identifica o mesmo participante no exame, não permite o acesso aos dados cadastrais como nome, endereço, RG etc, nem identifica o mesmo participante em microdados de pesquisas diferentes.",,,,
2. Idade do inscrito em 31/12/2017. Idades inferiores a 10 anos e superiores a 100 anos estão com o campo vazio na base.,,,,
3. Foi considerado treineiro o inscrito que tinha menos de 18 anos no primeiro dia de realização do exame (05/11/2017) e que não havia concluído o ensino médio e não o concluiria em 2017,,,,
4. Número gerado como identificador da escola no Censo Escolar da Educação Básica.,,,,
"5. Segundo o Edital do Enem 2017, no ato da inscrição o participante deveria informar a condição especial ou específica que motiva o atendimento.",,,,
"6. Segundo o Edital do Enem 2017, no ato da inscrição o participante poderia declarar-se travesti ou transexual e solicitar o atendimento pelo Nome Social.",,,,
"7. A opção de certificação só é apresentada para participantes concluintes com idade mínima de 18 anos, conforme Edital do Enem 2017.",,,,
8. As 45 primeiras posições deste campo são referentes as respectivas respostas. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.,,,,
"9. As 45 primeiras posições deste campo são referentes as respectivas respostas, das quais as 5 primeiras correspondem a parte de língua estrangeira. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.",,,,
10. As 45 primeiras posições deste campo são referentes ao respectivo gabarito,,,,
"11. As 50 primeiras posições deste campo são referentes ao respectivo gabarito, das quais, para as 10 primeiras, as 5 primeiras correspondem à prova de Lingua Inglesa e as outras 5 à prova de Lingua Espanhola.",,,,